season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z
2023,51417,김현준,SAM,,1669,True,-2.171183,-1.953866,15.896,67.825413,4.063835,44.098262,59.246575,27.364439,31.882136,66.056911,72.18543,45.875543,22.465753,9.917355,-1.689786,-0.801783,0.813275,3.853288,2.705936,-3.997532,2,1.766033,False,-0.337256,-0.171147,0.170604,0.54503,0.87771,-0.659468
2023,68912,김형준,NC,,345,True,-5.36537,0.926976,50.0,17.028215,4.935714,40.869565,61.111111,18.787879,42.323232,63.541667,86.363636,46.206897,13.157895,10.714286,-3.237298,-7.057759,-6.411841,12.864503,5.251096,-3.77478,2,3.277492,True,-0.646116,-1.506536,-1.345035,1.819627,1.703271,-0.622721
2023,67304,김혜성,KIW,,2344,True,2.432915,2.35882,71.965,109.341019,4.664719,45.605802,65.847234,26.473029,39.374205,70.607029,76.190476,52.410901,22.201139,4.219409,-0.197041,1.780774,-1.687392,0.12323,-0.374872,2.375246,2,1.529646,False,-0.039326,0.380121,-0.35397,0.01743,-0.121595,0.391842
2023,65653,김호령,KIA,,429,True,1.158219,2.629161,74.855,19.130739,4.45938,49.184149,67.213115,25.405405,41.80771,73.4375,87.096774,50.26178,23.45679,6.896552,0.84865,0.930916,0.7011,10.544653,2.466327,0.215934,1,1.873238,False,0.169378,0.198712,0.147072,1.491494,0.79999,0.035622
2023,64407,김호재,SAM,,521,True,-0.273776,-1.323914,25.723,22.273589,4.275161,43.953935,58.467742,30.769231,27.698511,62.096774,66.666667,53.603604,23.015873,8.163265,-3.214729,3.11045,-4.176767,-2.795338,1.33413,3.706781,2,1.847549,False,-0.641612,0.663951,-0.876175,-0.395388,0.432745,0.611504
2023,51344,김휘집,KIW,,1805,True,-3.528683,1.318117,56.358,99.334807,5.503313,42.271468,61.979753,23.144105,38.835648,68.828452,67.532468,46.084724,17.941953,4.142012,-2.831921,-2.38646,-1.76453,-6.668204,-1.083816,-3.911699,2,0.524229,False,-0.565209,-0.509409,-0.370152,-0.943188,-0.351552,-0.645309
2023,62947,나성범,KIA,,905,True,10.757202,3.811924,91.04,41.976751,4.638315,54.254144,81.326781,32.128514,49.198267,84.931507,86.764706,60.297767,26.237624,11.111111,13.561459,8.606768,10.261415,8.091216,7.398641,10.207333,1,2.998699,True,2.706663,1.837184,2.152574,1.144466,2.399858,1.683892
2023,63704,노수광,HAN,,393,True,-6.455832,3.090574,82.948,19.356065,4.925207,39.440204,61.702128,19.02439,42.677738,70.408163,71.428571,40.76087,15.942029,0.0,-5.208832,-5.07842,-3.082599,-5.951127,-4.150219,-9.302371,2,1.658821,False,-1.039604,-1.08403,-0.646648,-0.84176,-1.346185,-1.534602
2023,69737,노시환,HAN,,2471,True,0.603611,0.331301,43.064,123.486176,4.997417,44.718737,64.527027,26.495726,38.031301,70.358814,73.298429,50.847458,23.835125,4.089219,0.884131,0.170258,1.379172,0.86768,-1.735455,0.888237,2,1.598075,False,0.176459,0.036343,0.289314,0.122729,-0.56292,0.146531
2023,62931,노진혁,LOT,,1517,True,0.200118,3.335334,86.994,82.220253,5.419924,44.891233,67.773167,24.055416,43.717751,74.352332,81.73913,48.498498,19.637462,4.477612,0.572315,0.149765,0.461414,3.920438,0.475925,-1.57397,2,1.605414,False,0.114225,0.031969,0.096792,0.554528,0.154373,-0.259656
2023,53327,도슨,KIW,,927,True,6.365807,4.125105,92.197,45.629029,4.922225,51.456311,74.342105,29.299363,45.042742,77.821012,84.415584,59.26893,21.428571,6.493506,6.205854,6.029891,2.638902,5.180382,2.971089,9.166689,1,0.917671,False,1.238595,1.287129,0.553572,0.732742,0.963717,1.512219
2023,66965,도태훈,NC,,1247,True,-10.370293,1.999604,66.185,70.048255,5.617342,37.12911,54.024768,18.968386,35.056382,61.538462,63.157895,39.15547,13.127413,0.970874,-11.594055,-6.013226,-10.168679,-12.265072,-3.841396,-10.866643,2,3.175189,True,-2.313999,-1.283572,-2.13312,-1.73484,-1.246014,-1.792658
2023,50350,러셀,KIW,,848,True,5.615383,0.454337,45.376,41.863288,4.936709,49.764151,68.360277,30.361446,37.998831,73.819742,79.452055,56.267409,26.162791,3.571429,4.571658,4.135087,4.638949,6.800633,-2.178581,6.303549,1,1.228155,False,0.912434,0.882668,0.973129,0.961919,-0.706655,1.03989
2023,52547,렉스,LOT,,907,True,-5.526178,3.054906,82.37,49.250012,5.42999,42.337376,62.663755,21.603563,41.060192,71.111111,71.084337,43.213296,15.348837,4.918033,-4.20496,-2.527979,-2.321337,-6.231388,0.746169,-6.8486,2,0.920764,False,-0.839247,-0.539618,-0.486955,-0.881402,0.242031,-1.129806
2023,53211,로하스,DOO,,1786,True,0.671989,-0.586095,32.659,79.476093,4.449949,46.136618,64.00463,29.392625,34.612005,68.942731,71.428571,53.72549,22.75,5.389222,1.448291,2.328174,1.462934,0.643236,-0.99217,3.800853,1,1.631438,False,0.289057,0.496968,0.306885,0.090983,-0.321825,0.627023
2023,53404,류승민,SAM,,204,False,3.191133,-3.559927,5.78,7.327741,3.59203,51.470588,65.765766,34.408602,31.357164,71.666667,69.230769,53.658537,35.555556,11.764706,,,,,,,,,,,,,,,
2023,62234,류지혁,KIA · SAM,,1886,True,-4.523552,2.232247,68.497,91.958536,4.87585,43.372216,61.693936,20.897285,40.796651,67.632027,73.793103,45.410037,13.370474,1.626016,-4.200427,-3.896927,-4.455461,-2.047125,-3.045075,-4.620846,2,0.93083,False,-0.838342,-0.831831,-0.934638,-0.289557,-0.987715,-0.762296
2023,53036,류현인,KT,,86,False,5.961554,1.897125,65.318,4.540141,5.279234,51.162791,73.913043,25.0,48.913043,75.0,100.0,68.421053,10.526316,11.111111,,,,,,,,,,,,,,,
2023,50868,류효승,SSG,,12,False,16.614145,-2.362774,11.561,0.772536,6.437803,58.333333,75.0,50.0,25.0,100.0,,66.666667,50.0,0.0,,,,,,,,,,,,,,,
2023,53955,마틴,NC,,2076,True,0.94393,4.893091,97.399,108.172688,5.21063,46.098266,68.172691,25.740741,42.43195,75.94697,75.0,50.166482,21.006565,4.210526,-0.873157,3.089899,-0.490716,-5.612638,1.154159,0.03529,2,1.631351,False,-0.174269,0.659564,-0.102939,-0.793883,0.374369,0.005822
2023,69102,문보경,LG,,2102,True,-0.938715,2.862993,80.058,112.461913,5.350234,42.578497,64.966314,20.696143,44.270171,73.131673,79.738562,46.046512,16.435644,2.857143,-1.6751,-3.589989,0.012982,2.767047,-1.431182,-4.008149,2,1.10524,False,-0.334325,-0.766312,0.002723,0.391386,-0.464225,-0.66122
2023,67063,문상인,KT,,4,False,-17.054954,13.433697,100.0,0.90553,22.638261,0.0,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,50007,문상준,KT,,24,False,-0.545721,0.01012,39.306,1.499015,6.245895,54.166667,75.0,12.5,62.5,66.666667,50.0,87.5,0.0,0.0,,,,,,,,,,,,,,,
