season,batter_id,batter_name,batter_stance,team,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2026,68912,김형준,R,—,1306,True,45.865237,45.664786,98.958468,7.577218,56.297838,599,4.498051,707,10.186017,581,6.844193,725,8.164649,317,7.602342,12.756674,-6.694792,529,4.522433,4.764122,4.229171,287,7.880923,-21.524304,16.151143,173,16.368279,-23.348966,19.595305,116.168,110.793,111.528
2026,65653,김호령,R,—,1824,True,48.464912,47.839833,98.869481,5.420476,44.222146,884,3.590515,940,7.141418,861,5.663301,963,5.20337,458,6.619116,13.109138,-6.707062,750,2.546557,3.899054,0.758582,396,4.857376,-16.341267,13.855361,220,13.736155,-19.362109,19.164971,84.482,93.092,87.064
2026,51344,김휘집,R,—,889,True,44.31946,45.364466,66.243209,7.45143,54.667592,394,4.876413,495,9.501039,415,6.334996,474,8.428898,218,8.171343,13.004405,-6.506847,357,3.300297,4.060945,2.509224,218,8.174893,-20.034892,15.512698,96,19.610785,-16.312555,20.769603,114.32,103.161,113.711
2026,62947,나성범,L,—,1794,True,51.839465,43.41377,117.460333,6.547399,52.513314,930,2.699352,864,10.689394,746,7.223149,1048,6.066378,369,9.190321,11.356121,-5.647717,706,2.740027,3.045543,2.202989,454,6.850496,-15.633242,15.20548,265,12.491398,-16.96799,16.974349,101.038,116.473,94.194
2026,51551,나승엽,L,—,1276,True,38.087774,44.633565,84.644918,6.633614,57.150415,486,4.890657,790,7.705864,588,4.183978,688,8.727199,310,5.719703,11.580039,-4.640534,522,3.325346,4.245703,2.600407,297,8.573631,-15.38793,14.388571,147,16.389012,,16.389012,102.305,70.918,116.176
2026,69737,노시환,R,—,2001,True,46.176912,45.796839,148.301832,7.411386,54.192456,924,3.883524,1077,10.438075,864,6.921203,1137,7.783873,458,8.28946,12.395857,-6.41144,792,3.143627,3.576256,2.591652,491,8.503262,-19.385139,16.460946,260,16.802909,-24.939823,18.999895,113.732,111.947,108.383
2026,62931,노진혁,L,—,844,True,46.208531,45.984509,63.020048,7.46683,56.038459,390,5.091135,454,9.507626,399,7.443735,445,7.487538,216,8.830044,14.141991,-4.667524,337,3.695231,3.634066,3.771483,201,8.395673,-18.020484,15.164813,90,16.243243,-21.02809,19.386609,114.546,119.78,105.934
2026,54944,데이비슨,R,—,1703,True,53.846154,46.470328,107.665655,6.322117,47.58214,917,2.803405,786,10.427281,727,8.159333,976,4.953617,398,9.239746,12.992603,-5.677858,653,2.766628,2.885883,2.539778,406,3.443167,-16.44285,15.09513,246,15.791108,-15.697882,18.730081,97.729,130.506,85.001
2026,56632,데일,R,—,490,True,51.632653,45.528427,34.284797,6.996897,53.299538,253,3.683369,237,10.534124,229,7.453436,261,6.596333,126,9.13456,12.134167,-4.298465,202,2.511933,1.688423,3.767786,106,6.519233,-19.096608,14.844381,56,19.269214,-13.701289,20.490343,107.642,119.925,98.572
2026,66965,도태훈,L,—,343,True,37.026239,42.652333,21.02314,6.129195,49.045231,127,3.833557,216,7.478945,150,4.690857,193,7.247075,76,7.935609,13.011566,-5.358566,137,0.201817,1.725065,-0.819874,95,8.066034,-19.921229,13.734341,35,20.151016,-4.913336,20.888203,94.894,78.516,103.948
2026,54400,디아즈,L,—,2003,True,43.235147,41.14221,122.106314,6.096171,44.546758,866,1.97884,1137,9.232151,830,5.961642,1173,6.191363,431,6.931374,14.358936,-6.428593,758,2.649171,2.744345,2.538224,528,5.979964,-18.79783,16.182586,286,14.187821,-18.095447,17.553258,94.409,97.564,95.226
2026,54529,레이예스,L,—,1904,True,53.308824,43.458087,105.15021,5.522595,48.287473,1015,2.098067,889,9.432489,788,6.588348,1116,4.770074,423,6.967819,10.485861,-4.395456,723,3.02623,3.061702,2.955727,456,2.67384,-12.699425,12.426771,302,13.776153,-14.184563,17.323408,85.982,106.958,83.484
2026,53404,류승민,L,—,350,True,45.142857,43.414061,20.914479,5.975566,47.266093,158,3.281819,192,8.192295,155,5.783199,195,6.128472,88,6.603796,13.344259,-6.427766,132,4.707488,5.876964,3.639707,85,4.920639,-16.35887,15.373731,45,10.459357,-18.626675,17.730865,92.637,94.889,94.707
